study_id,study_label,instrument,subscale,design_type,valence,yi_aligned,vi,se,ci_lb,ci_ub
3,Ketelhut et al. 2023,PANAS,negative affect,controlled,negative,-0.17,0.1,0.31,-0.78,0.44
3,Ketelhut et al. 2023,PANAS,positive affect,controlled,positive,0.39,0.1,0.32,-0.23,1.01
8,Huttunen et al. 2004,OIRE,mood,controlled,negative,0.09,0.12,0.35,-0.59,0.77
8,Huttunen et al. 2004,POMS,Depression,controlled,negative,-0.14,0.12,0.35,-0.82,0.54
8,Huttunen et al. 2004,POMS,Fatigue,controlled,negative,0.59,0.13,0.35,-0.1,1.28
8,Huttunen et al. 2004,POMS,Tension,controlled,negative,-0.12,0.12,0.35,-0.8,0.57
8,Huttunen et al. 2004,POMS,Vigor,controlled,positive,0.05,0.12,0.35,-0.64,0.73
11,Reed et al. 2023,PANAS,negative affect,single_group,negative,0.71,0.09,0.3,0.13,1.29
11,Reed et al. 2023,PANAS,positive affect,single_group,positive,-0.13,0.07,0.26,-0.65,0.38
12,Yankouskaya et al. 2023,PANAS,negative affect,single_group,negative,1.1,0.05,0.22,0.67,1.53
12,Yankouskaya et al. 2023,PANAS,positive affect,single_group,positive,0.99,0.05,0.21,0.57,1.4
13,Epel et al. 2025,MDES,negative,controlled,negative,-0.08,0.06,0.24,-0.55,0.38
13,Epel et al. 2025,MDES,positive,controlled,positive,0.61,0.06,0.24,0.13,1.09
